customer_id,customer_city,customer_state
C001,Bengaluru,KA
C002,Delhi,DL
C003,Delhi,DL
C004,Mumbai,MH
C005,Delhi,DL
C006,Chennai,TN
C007,Delhi,DL
C008,Chennai,TN
C009,Mumbai,MH
C010,Bengaluru,KA
C011,Bengaluru,KA
C012,Delhi,DL
C013,Chennai,TN
C014,Hyderabad,TS
C015,Hyderabad,TS
C016,Hyderabad,TS
C017,Bengaluru,KA
C018,Bengaluru,KA
C019,Chennai,TN
C020,Delhi,DL
C021,Hyderabad,TS
C022,Chennai,TN
C023,Chennai,TN
C024,Delhi,DL
C025,Chennai,TN
C026,Delhi,DL
C027,Mumbai,MH
C028,Delhi,DL
C029,Hyderabad,TS
C030,Hyderabad,TS
C031,Delhi,DL
C032,Mumbai,MH
C033,Mumbai,MH
C034,Hyderabad,TS
C035,Mumbai,MH
C036,Chennai,TN
C037,Bengaluru,KA
C038,Chennai,TN
C039,Hyderabad,TS
C040,Mumbai,MH
C041,Delhi,DL
C042,Bengaluru,KA
C043,Delhi,DL
C044,Hyderabad,TS
C045,Mumbai,MH
C046,Delhi,DL
C047,Delhi,DL
C048,Bengaluru,KA
C049,Bengaluru,KA
C050,Mumbai,MH
C051,Bengaluru,KA
C052,Delhi,DL
C053,Delhi,DL
C054,Hyderabad,TS
C055,Delhi,DL
C056,Mumbai,MH
C057,Chennai,TN
C058,Hyderabad,TS
C059,Hyderabad,TS
C060,Mumbai,MH
C061,Mumbai,MH
C062,Bengaluru,KA
C063,Hyderabad,TS
C064,Bengaluru,KA
C065,Delhi,DL
C066,Hyderabad,TS
C067,Hyderabad,TS
C068,Chennai,TN
C069,Hyderabad,TS
C070,Delhi,DL
C071,Bengaluru,KA
C072,Bengaluru,KA
C073,Chennai,TN
C074,Delhi,DL
C075,Bengaluru,KA
C076,Mumbai,MH
C077,Delhi,DL
C078,Delhi,DL
C079,Chennai,TN
C080,Bengaluru,KA
C081,Delhi,DL
C082,Bengaluru,KA
C083,Mumbai,MH
C084,Chennai,TN
C085,Mumbai,MH
C086,Chennai,TN
C087,Delhi,DL
C088,Chennai,TN
C089,Hyderabad,TS
C090,Bengaluru,KA
C091,Bengaluru,KA
C092,Hyderabad,TS
C093,Mumbai,MH
C094,Hyderabad,TS
C095,Delhi,DL
C096,Delhi,DL
C097,Bengaluru,KA
C098,Delhi,DL
C099,Bengaluru,KA
C100,Hyderabad,TS
C101,Hyderabad,TS
C102,Hyderabad,TS
C103,Bengaluru,KA
C104,Hyderabad,TS
C105,Hyderabad,TS
C106,Mumbai,MH
C107,Hyderabad,TS
C108,Delhi,DL
C109,Bengaluru,KA
C110,Mumbai,MH
C111,Chennai,TN
C112,Bengaluru,KA
C113,Delhi,DL
C114,Bengaluru,KA
C115,Delhi,DL
C116,Delhi,DL
C117,Chennai,TN
C118,Bengaluru,KA
C119,Chennai,TN
C120,Chennai,TN
C121,Bengaluru,KA
C122,Hyderabad,TS
C123,Hyderabad,TS
C124,Chennai,TN
C125,Mumbai,MH
C126,Chennai,TN
C127,Chennai,TN
C128,Chennai,TN
C129,Hyderabad,TS
C130,Hyderabad,TS
C131,Hyderabad,TS
C132,Chennai,TN
C133,Mumbai,MH
C134,Hyderabad,TS
C135,Bengaluru,KA
C136,Bengaluru,KA
C137,Bengaluru,KA
C138,Delhi,DL
C139,Chennai,TN
C140,Bengaluru,KA
C141,Chennai,TN
C142,Bengaluru,KA
C143,Mumbai,MH
C144,Chennai,TN
C145,Bengaluru,KA
C146,Hyderabad,TS
C147,Chennai,TN
C148,Delhi,DL
C149,Hyderabad,TS
C150,Hyderabad,TS
C151,Delhi,DL
C152,Hyderabad,TS
C153,Hyderabad,TS
C154,Bengaluru,KA
C155,Bengaluru,KA
C156,Chennai,TN
C157,Chennai,TN
C158,Chennai,TN
C159,Bengaluru,KA
C160,Chennai,TN
C161,Hyderabad,TS
C162,Bengaluru,KA
C163,Chennai,TN
C164,Hyderabad,TS
C165,Chennai,TN
C166,Mumbai,MH
C167,Chennai,TN
C168,Mumbai,MH
C169,Chennai,TN
C170,Delhi,DL
C171,Chennai,TN
C172,Bengaluru,KA
C173,Bengaluru,KA
C174,Mumbai,MH
C175,Bengaluru,KA
C176,Hyderabad,TS
C177,Delhi,DL
C178,Delhi,DL
C179,Hyderabad,TS
C180,Mumbai,MH
C181,Hyderabad,TS
C182,Hyderabad,TS
C183,Delhi,DL
C184,Chennai,TN
C185,Delhi,DL
C186,Delhi,DL
C187,Bengaluru,KA
C188,Hyderabad,TS
C189,Delhi,DL
C190,Hyderabad,TS
C191,Bengaluru,KA
C192,Hyderabad,TS
C193,Delhi,DL
C194,Hyderabad,TS
C195,Bengaluru,KA
C196,Chennai,TN
C197,Hyderabad,TS
C198,Delhi,DL
C199,Bengaluru,KA
C200,Delhi,DL
