order_id,product_id,quantity,price,freight_value
O0001,P054,3,3321.13,178.26
O0002,P031,3,1401.51,56.65
O0003,P002,1,2345.6,299.57
O0004,P017,2,4672.97,266.64
O0005,P057,5,4185.35,216.99
O0006,P085,3,607.57,265.88
O0007,P035,3,1480.61,78.98
O0008,P033,1,4536.15,256.91
O0009,P006,3,117.37,235.91
O0010,P072,2,147.38,41.07
O0011,P075,1,2807.37,140.34
O0012,P046,1,1129.38,89.87
O0013,P031,2,4336.57,293.34
O0014,P095,4,4629.99,239.07
O0015,P021,1,3958.14,50.27
O0016,P059,2,1813.33,249.75
O0017,P052,3,1708.48,262.02
O0018,P087,1,4907.63,170.14
O0019,P075,1,4816.42,94.33
O0020,P094,5,3953.5,142.19
O0021,P033,5,317.49,142.1
O0022,P056,3,442.87,205.99
O0023,P093,4,4510.23,161.99
O0024,P071,4,723.71,137.72
O0025,P052,3,2784.89,20.11
O0026,P060,5,2264.75,209.18
O0027,P037,3,2625.71,197.22
O0028,P029,1,4052.16,61.26
O0029,P059,2,2130.76,196.33
O0030,P052,1,1295.52,203.7
O0031,P029,5,961.84,288.23
O0032,P016,5,2336.66,244.4
O0033,P079,4,4093.53,269.77
O0034,P096,2,4321.33,146.02
O0035,P081,3,1272.3,143.16
O0036,P041,2,4475.83,42.56
O0037,P091,3,1148.37,136.16
O0038,P008,5,1113.49,137.64
O0039,P062,4,128.89,118.49
O0040,P029,4,1437.38,155.98
O0041,P060,5,4605.75,294.6
O0042,P011,4,3249.47,58.0
O0043,P049,3,1704.03,147.32
O0044,P097,1,4760.9,138.04
O0045,P045,1,1198.69,39.21
O0046,P026,2,4212.22,193.97
O0047,P073,3,4744.01,150.21
O0048,P078,1,3075.51,229.42
O0049,P014,5,2935.56,280.09
O0050,P092,2,1071.82,185.79
O0051,P073,4,3934.91,117.22
O0052,P065,4,3272.96,23.54
O0053,P047,2,3214.37,252.04
O0054,P079,4,4060.18,170.69
O0055,P042,1,4273.39,252.6
O0056,P097,4,2377.07,190.89
O0057,P042,3,991.02,79.39
O0058,P072,1,149.74,285.46
O0059,P072,4,3815.01,213.37
O0060,P038,3,1185.82,213.7
O0061,P071,5,2701.52,139.14
O0062,P035,2,1602.45,84.55
O0063,P025,5,1160.28,155.58
O0064,P013,3,4179.88,102.95
O0065,P091,1,2717.26,96.81
O0066,P082,1,4355.46,157.45
O0067,P062,1,2258.3,71.62
O0068,P009,1,2063.47,40.74
O0069,P011,4,4970.2,53.17
O0070,P058,5,4551.67,103.26
O0071,P079,2,4804.53,47.79
O0072,P085,5,497.82,87.16
O0073,P053,3,2307.47,186.27
O0074,P091,1,1485.32,260.69
O0075,P081,2,2989.97,245.09
O0076,P083,2,830.05,94.38
O0077,P040,3,3015.72,250.79
O0078,P089,3,1590.05,132.7
O0079,P011,3,3030.38,269.04
O0080,P012,5,1221.73,208.8
O0081,P074,4,297.14,231.76
O0082,P024,4,4985.03,142.05
O0083,P053,2,1733.21,207.64
O0084,P037,5,3346.66,132.13
O0085,P041,4,1336.75,52.46
O0086,P053,5,365.6,165.16
O0087,P098,2,352.9,94.78
O0088,P016,2,241.46,196.41
O0089,P071,2,167.0,134.24
O0090,P083,3,4177.5,159.55
O0091,P062,5,4903.2,88.24
O0092,P077,1,2590.38,266.21
O0093,P065,3,1409.15,20.72
O0094,P058,5,2739.04,116.63
O0095,P042,2,4361.05,294.62
O0096,P100,4,2112.8,109.09
O0097,P085,2,3982.73,202.57
O0098,P065,1,4830.23,112.96
O0099,P002,2,3639.97,134.79
O0100,P044,1,3153.97,131.3
O0101,P081,5,3621.72,232.63
O0102,P081,2,3453.56,100.47
O0103,P013,1,3825.81,217.09
O0104,P004,3,325.36,242.92
O0105,P019,2,1296.57,135.37
O0106,P079,2,4367.11,193.52
O0107,P060,1,3225.73,148.68
O0108,P010,5,2264.48,116.76
O0109,P059,4,4241.99,75.78
O0110,P049,3,2902.42,180.95
O0111,P002,1,2873.05,212.02
O0112,P100,3,4014.41,189.98
O0113,P087,2,3802.33,234.89
O0114,P040,3,3964.19,29.34
O0115,P038,2,1700.92,136.34
O0116,P022,4,1359.15,250.91
O0117,P060,2,4818.18,59.41
O0118,P012,5,3974.34,23.9
O0119,P087,4,3770.16,93.41
O0120,P087,5,1245.73,27.01
O0121,P082,3,4136.89,274.63
O0122,P018,4,322.2,30.42
O0123,P069,5,764.75,147.02
O0124,P084,4,585.21,157.02
O0125,P028,3,2272.58,286.16
O0126,P008,1,2050.88,73.15
O0127,P083,1,3233.52,291.91
O0128,P073,5,1105.51,252.35
O0129,P043,5,3894.41,240.82
O0130,P017,1,2747.06,243.58
O0131,P002,5,1855.39,240.76
O0132,P034,5,356.76,227.68
O0133,P058,1,3912.28,163.71
O0134,P079,5,312.49,239.3
O0135,P008,4,4993.08,257.24
O0136,P092,1,4557.53,40.58
O0137,P017,5,1447.58,197.26
O0138,P077,5,2699.73,147.04
O0139,P084,2,3289.49,235.31
O0140,P053,4,1760.76,146.98
O0141,P055,2,1631.37,91.37
O0142,P012,1,4175.68,46.1
O0143,P072,5,393.91,287.85
O0144,P046,4,4380.68,283.52
O0145,P077,5,1631.0,49.01
O0146,P029,5,4251.65,118.03
O0147,P074,5,1208.18,140.15
O0148,P004,3,984.04,216.76
O0149,P024,4,4362.33,178.57
O0150,P012,4,3755.95,80.24
O0151,P048,5,1627.02,110.83
O0152,P020,1,871.31,192.99
O0153,P063,2,3074.67,135.97
O0154,P045,5,2206.58,99.31
O0155,P006,1,1180.54,295.64
