order_id,customer_id,order_purchase_timestamp,order_status
O0001,C153,2024-02-10,delivered
O0002,C067,2024-07-28,shipped
O0003,C118,2024-11-19,delivered
O0004,C019,2024-08-06,shipped
O0005,C095,2024-10-18,processing
O0006,C168,2024-01-09,shipped
O0007,C030,2024-04-19,processing
O0008,C053,2024-09-27,cancelled
O0009,C163,2025-03-09,shipped
O0010,C042,2025-03-28,cancelled
O0011,C140,2024-02-06,shipped
O0012,C079,2025-01-08,delivered
O0013,C091,2025-02-20,processing
O0014,C106,2024-01-26,processing
O0015,C172,2024-09-11,shipped
O0016,C121,2024-08-15,processing
O0017,C058,2024-01-25,processing
O0018,C090,2025-06-05,cancelled
O0019,C030,2024-09-24,processing
O0020,C153,2025-03-20,shipped
O0021,C030,2025-01-29,processing
O0022,C138,2024-07-20,shipped
O0023,C160,2024-11-17,delivered
O0024,C084,2025-02-16,shipped
O0025,C174,2024-06-27,shipped
O0026,C054,2025-03-16,shipped
O0027,C122,2024-06-22,delivered
O0028,C024,2024-08-28,shipped
O0029,C063,2025-05-01,delivered
O0030,C184,2025-01-28,cancelled
O0031,C193,2024-04-19,cancelled
O0032,C119,2024-02-21,processing
O0033,C144,2024-11-20,cancelled
O0034,C141,2025-04-01,processing
O0035,C164,2024-10-10,cancelled
O0036,C061,2024-10-05,shipped
O0037,C060,2025-01-27,processing
O0038,C139,2025-04-22,cancelled
O0039,C179,2024-01-21,cancelled
O0040,C108,2024-08-13,cancelled
O0041,C087,2025-02-18,processing
O0042,C007,2025-02-07,delivered
O0043,C047,2024-02-21,shipped
O0044,C195,2025-01-23,shipped
O0045,C121,2024-01-20,delivered
O0046,C194,2024-02-01,processing
O0047,C033,2025-04-29,delivered
O0048,C197,2025-01-12,processing
O0049,C200,2024-06-16,shipped
O0050,C174,2025-01-19,cancelled
O0051,C027,2024-11-04,delivered
O0052,C170,2025-01-14,delivered
O0053,C126,2024-04-18,cancelled
O0054,C112,2024-06-29,shipped
O0055,C120,2025-03-22,shipped
O0056,C072,2025-04-06,processing
O0057,C087,2024-01-30,cancelled
O0058,C088,2024-10-13,shipped
O0059,C062,2025-02-20,cancelled
O0060,C115,2024-01-18,delivered
O0061,C170,2025-01-12,cancelled
O0062,C085,2024-12-26,cancelled
O0063,C081,2024-05-02,processing
O0064,C195,2025-06-21,shipped
O0065,C046,2024-11-05,delivered
O0066,C142,2024-10-26,processing
O0067,C147,2024-10-18,cancelled
O0068,C065,2025-05-04,delivered
O0069,C039,2024-06-01,shipped
O0070,C156,2024-08-19,cancelled
O0071,C110,2024-11-08,delivered
O0072,C161,2024-08-04,shipped
O0073,C020,2024-06-09,delivered
O0074,C009,2024-08-25,shipped
O0075,C176,2024-08-27,shipped
O0076,C109,2024-04-27,processing
O0077,C019,2024-03-02,processing
O0078,C113,2024-05-07,cancelled
O0079,C129,2025-05-20,cancelled
O0080,C155,2024-09-13,delivered
O0081,C151,2024-01-22,shipped
O0082,C133,2025-03-28,shipped
O0083,C024,2025-04-26,shipped
O0084,C085,2025-02-25,cancelled
O0085,C010,2025-04-10,delivered
O0086,C132,2024-01-02,cancelled
O0087,C194,2025-05-25,cancelled
O0088,C074,2025-03-24,cancelled
O0089,C182,2024-06-11,shipped
O0090,C030,2025-04-17,delivered
O0091,C131,2024-10-06,cancelled
O0092,C038,2025-01-27,processing
O0093,C071,2025-02-28,shipped
O0094,C151,2025-05-16,processing
O0095,C196,2025-01-21,cancelled
O0096,C147,2025-01-27,processing
O0097,C181,2025-01-25,cancelled
O0098,C127,2024-02-07,processing
O0099,C113,2024-04-12,cancelled
O0100,C020,2025-04-25,shipped
O0101,C085,2025-01-24,shipped
O0102,C010,2024-03-11,processing
O0103,C192,2024-04-02,cancelled
O0104,C114,2024-06-19,shipped
O0105,C092,2025-01-18,cancelled
O0106,C044,2024-06-28,delivered
O0107,C128,2024-05-26,processing
O0108,C120,2024-10-21,processing
O0109,C077,2025-03-10,shipped
O0110,C124,2024-04-19,processing
O0111,C006,2025-02-09,shipped
O0112,C156,2025-05-23,shipped
O0113,C057,2024-07-13,shipped
O0114,C161,2024-04-09,delivered
O0115,C188,2024-05-14,delivered
O0116,C034,2025-01-09,shipped
O0117,C076,2024-12-12,delivered
O0118,C174,2025-02-10,shipped
O0119,C032,2025-04-10,shipped
O0120,C164,2025-01-15,delivered
O0121,C084,2024-08-14,delivered
O0122,C167,2025-02-22,delivered
O0123,C030,2024-04-09,processing
O0124,C108,2024-06-07,cancelled
O0125,C072,2024-02-03,shipped
O0126,C026,2025-01-11,shipped
O0127,C117,2024-04-03,processing
O0128,C086,2024-09-06,processing
O0129,C054,2024-08-09,processing
O0130,C001,2024-10-10,processing
O0131,C170,2024-01-27,processing
O0132,C083,2024-01-17,processing
O0133,C030,2024-03-06,cancelled
O0134,C116,2025-05-30,processing
O0135,C078,2025-04-14,delivered
O0136,C176,2024-04-20,cancelled
O0137,C083,2024-05-31,delivered
O0138,C183,2024-11-28,cancelled
O0139,C111,2024-04-11,delivered
O0140,C111,2025-04-07,processing
O0141,C187,2024-04-07,shipped
O0142,C176,2025-04-30,delivered
O0143,C191,2025-01-16,processing
O0144,C085,2024-05-05,cancelled
O0145,C185,2024-02-22,shipped
O0146,C055,2024-06-07,cancelled
O0147,C095,2024-04-27,shipped
O0148,C197,2024-01-27,shipped
O0149,C087,2024-12-25,delivered
O0150,C018,2024-05-25,delivered
O0151,C117,2024-12-15,processing
O0152,C153,2024-03-27,delivered
O0153,C070,2025-03-29,cancelled
O0154,C194,2025-06-08,delivered
O0155,C125,2025-06-23,shipped
O0156,C002,2024-07-28,shipped
O0157,C084,2024-05-02,delivered
O0158,C137,2024-08-23,shipped
O0159,C005,2025-04-15,delivered
O0160,C075,2024-04-27,cancelled
O0161,C118,2025-01-05,delivered
O0162,C103,2025-06-20,delivered
O0163,C086,2024-06-21,delivered
O0164,C199,2024-12-23,shipped
O0165,C061,2024-04-15,processing
