product_id,product_category_name,product_name
P001,Electronics,Product 1
P002,Electronics,Product 2
P003,Books,Product 3
P004,Furniture,Product 4
P005,Furniture,Product 5
P006,Furniture,Product 6
P007,Electronics,Product 7
P008,Toys,Product 8
P009,Electronics,Product 9
P010,Toys,Product 10
P011,Fashion,Product 11
P012,Electronics,Product 12
P013,Electronics,Product 13
P014,Electronics,Product 14
P015,Furniture,Product 15
P016,Furniture,Product 16
P017,Toys,Product 17
P018,Toys,Product 18
P019,Electronics,Product 19
P020,Toys,Product 20
P021,Furniture,Product 21
P022,Toys,Product 22
P023,Fashion,Product 23
P024,Furniture,Product 24
P025,Fashion,Product 25
P026,Toys,Product 26
P027,Books,Product 27
P028,Electronics,Product 28
P029,Furniture,Product 29
P030,Fashion,Product 30
P031,Books,Product 31
P032,Books,Product 32
P033,Furniture,Product 33
P034,Furniture,Product 34
P035,Books,Product 35
P036,Electronics,Product 36
P037,Electronics,Product 37
P038,Fashion,Product 38
P039,Electronics,Product 39
P040,Books,Product 40
P041,Books,Product 41
P042,Toys,Product 42
P043,Books,Product 43
P044,Electronics,Product 44
P045,Fashion,Product 45
P046,Toys,Product 46
P047,Electronics,Product 47
P048,Fashion,Product 48
P049,Electronics,Product 49
P050,Toys,Product 50
P051,Books,Product 51
P052,Toys,Product 52
P053,Books,Product 53
P054,Toys,Product 54
P055,Furniture,Product 55
P056,Electronics,Product 56
P057,Electronics,Product 57
P058,Furniture,Product 58
P059,Books,Product 59
P060,Electronics,Product 60
P061,Furniture,Product 61
P062,Electronics,Product 62
P063,Fashion,Product 63
P064,Books,Product 64
P065,Fashion,Product 65
P066,Books,Product 66
P067,Furniture,Product 67
P068,Books,Product 68
P069,Books,Product 69
P070,Furniture,Product 70
P071,Books,Product 71
P072,Electronics,Product 72
P073,Toys,Product 73
P074,Furniture,Product 74
P075,Toys,Product 75
P076,Furniture,Product 76
P077,Furniture,Product 77
P078,Fashion,Product 78
P079,Fashion,Product 79
P080,Books,Product 80
P081,Toys,Product 81
P082,Furniture,Product 82
P083,Books,Product 83
P084,Electronics,Product 84
P085,Furniture,Product 85
P086,Electronics,Product 86
P087,Books,Product 87
P088,Fashion,Product 88
P089,Books,Product 89
P090,Electronics,Product 90
P091,Furniture,Product 91
P092,Toys,Product 92
P093,Books,Product 93
P094,Furniture,Product 94
P095,Fashion,Product 95
P096,Fashion,Product 96
P097,Fashion,Product 97
P098,Furniture,Product 98
P099,Books,Product 99
P100,Furniture,Product 100
